"1994/06/10;00:00:00" 3180 <
"1994/06/11;00:00:00" 3197 <
"1994/06/12;00:00:00" 3190 <
"1994/06/13;00:00:00" 3143 <
"1994/06/14;00:00:00" 3120 <
"1994/06/15;00:00:00" 3081 <
"1994/06/16;00:00:00" 2999 <
"1994/06/17;00:00:00" 2899 <
"1994/06/18;00:00:00" 2782 <
"1994/06/19;00:00:00" 2653 <
"1994/06/20;00:00:00" 2534 <
"1994/06/21;00:00:00" 2402 <
"1994/06/22;00:00:00" 2301 <
"1994/06/23;00:00:00" 2208 <
"1994/06/24;00:00:00" 2187 <
"1994/06/25;00:00:00" 2180 <
"1994/06/26;00:00:00" 2077 <
"1994/06/27;00:00:00" 1998 <
"1994/06/28;00:00:00" 1978 <
"1994/06/29;00:00:00" 1987 <
"1994/06/30;00:00:00" 2046 <
"1994/07/01;00:00:00" 2120 <
"1994/07/02;00:00:00" 2116 <
"1994/07/03;00:00:00" 2051 <
"1994/07/04;00:00:00" 2000 <
"1994/07/05;00:00:00" 1999 <
"1994/07/06;00:00:00" 1959 <
"1994/07/07;00:00:00" 1880 <
"1994/07/08;00:00:00" 1876 <
"1994/07/09;00:00:00" 1886 <
"1994/07/10;00:00:00" 1906 <
"1994/07/11;00:00:00" 1958 <
"1994/07/12;00:00:00" 1980 <
"1994/07/13;00:00:00" 1902 <
"1994/07/14;00:00:00" 1839 <
"1994/07/15;00:00:00" 1780 <
"1994/07/16;00:00:00" 1710 <
"1994/07/17;00:00:00" 1675 <
"1994/07/18;00:00:00" 1668 <
"1994/07/19;00:00:00" 1653 <
"1994/07/20;00:00:00" 1635 <
"1994/07/21;00:00:00" 1673 <
"1994/07/22;00:00:00" 1733 <
"1994/07/23;00:00:00" 1822 <
"1994/07/24;00:00:00" 1837 <
"1994/07/25;00:00:00" 1767 <
"1994/07/26;00:00:00" 1705 <
"1994/07/27;00:00:00" 1639 <
"1994/07/28;00:00:00" 1570 <
"1994/07/29;00:00:00" 1547 <
"1994/07/30;00:00:00" 1539 <
"1994/07/31;00:00:00" 1490 <
"1994/08/01;00:00:00" 1442 <
"1994/08/02;00:00:00" 1435 <
"1994/08/03;00:00:00" 1435 <
"1994/08/04;00:00:00" 1411 <
"1994/08/05;00:00:00" 1365 <
"1994/08/06;00:00:00" 1333 <
"1994/08/07;00:00:00" 1305 <
"1994/08/08;00:00:00" 1290 <
"1994/08/09;00:00:00" 1296 <
"1994/08/10;00:00:00" 1321 <
"1994/08/11;00:00:00" 1354 <
"1994/08/12;00:00:00" 1371 <
"1994/08/13;00:00:00" 1361 <
"1994/08/14;00:00:00" 1370 <
"1994/08/15;00:00:00" 1416 <
"1994/08/16;00:00:00" 1470 <
"1994/08/17;00:00:00" 1450 <
"1994/08/18;00:00:00" 1432 <
"1994/08/19;00:00:00" 1409 <
"1994/08/20;00:00:00" 1379 <
"1994/08/21;00:00:00" 1387 <
"1994/08/22;00:00:00" 1456 <
"1994/08/23;00:00:00" 1533 <
"1994/08/24;00:00:00" 1548 <
"1994/08/25;00:00:00" 1540 <
"1994/08/26;00:00:00" 1476 <
"1994/08/27;00:00:00" 1446 <
"1994/08/28;00:00:00" 1436 <
"1994/08/29;00:00:00" 1470 <
"1994/08/30;00:00:00" 1526 <
"1994/08/31;00:00:00" 1452 <
"1994/09/01;00:00:00" 1381 <
"1994/09/02;00:00:00" 1336 <
"1994/09/03;00:00:00" 1325 <
"1994/09/04;00:00:00" 1310 <
"1994/09/05;00:00:00" 1330 <
"1994/09/06;00:00:00" 1381 <
"1994/09/07;00:00:00" 1459 <
"1994/09/08;00:00:00" 1543 <
"1994/09/09;00:00:00" 1601 <
"1994/09/10;00:00:00" 1702 <
"1994/09/11;00:00:00" 1750 <
"1994/09/12;00:00:00" 1818 <
"1994/09/13;00:00:00" 1907 <
"1994/09/14;00:00:00" 1913 <
"1994/09/15;00:00:00" 1958 <
"1994/09/16;00:00:00" 1967 <
"1994/09/17;00:00:00" 2005 <
"1994/09/18;00:00:00" 2101 <
"1994/09/19;00:00:00" 2224 <
"1994/09/20;00:00:00" 2274 <
"1994/09/21;00:00:00" 2264 <
"1994/09/22;00:00:00" 2240 <
"1994/09/23;00:00:00" 2164 <
"1994/09/24;00:00:00" 2076 <
"1994/09/25;00:00:00" 1979 <
"1994/09/26;00:00:00" 1909 <
"1994/09/27;00:00:00" 1871 <
"1994/09/28;00:00:00" 1814 <
"1994/09/29;00:00:00" 1752 <
"1994/09/30;00:00:00" 1685 <
"1994/10/01;00:00:00" 1667 <
"1994/10/02;00:00:00" 1604 <
"1994/10/03;00:00:00" 1571 <
"1994/10/04;00:00:00" 1616 <
"1994/10/05;00:00:00" 1617 <
"1994/10/06;00:00:00" 1569 <
"1994/10/07;00:00:00" 1578 <
"1994/10/08;00:00:00" 1621 <
"1994/10/09;00:00:00" 1625 <
"1994/10/10;00:00:00" 1576 <
"1994/10/11;00:00:00" 1498 <
"1994/10/12;00:00:00" 1439 <
"1994/10/13;00:00:00" 1382 <
"1994/10/14;00:00:00" 1357 <
"1994/10/15;00:00:00" 1333 <
"1994/10/16;00:00:00" 1297 <
"1994/10/17;00:00:00" 1262 <
"1994/10/18;00:00:00" 1246 <
"1994/10/19;00:00:00" 1221 <
"1994/10/20;00:00:00" 1179 <
"1994/10/21;00:00:00" 1155 <
"1994/10/22;00:00:00" 1132 <
"1994/10/23;00:00:00" 1112 <
"1994/10/24;00:00:00" 1097 <
"1994/10/25;00:00:00" 1108 <
"1994/10/26;00:00:00" 1131 <
"1994/10/27;00:00:00" 1133 <
"1994/10/28;00:00:00" 1151 <
"1994/10/29;00:00:00" 1191 <
"1994/10/30;00:00:00" 1278 <
"1994/10/31;00:00:00" 1514 <
"1994/11/01;00:00:00" 1795 <
"1994/11/02;00:00:00" 1967 <
"1994/11/03;00:00:00" 1966 <
"1994/11/04;00:00:00" 1848 <
"1994/11/05;00:00:00" 1699 <
"1994/11/06;00:00:00" 1549 <
"1994/11/07;00:00:00" 1434 <
"1994/11/08;00:00:00" 1421 <
"1994/11/09;00:00:00" 1375 <
"1994/11/10;00:00:00" 1328 <
"1994/11/11;00:00:00" 1294 <
"1994/11/12;00:00:00" 1298 <
"1994/11/13;00:00:00" 1293 <
"1994/11/14;00:00:00" 1291 <
"1994/11/15;00:00:00" 1363 <
"1994/11/16;00:00:00" 1602 <
"1994/11/17;00:00:00" 1823 <
"1994/11/18;00:00:00" 1897 <
"1994/11/19;00:00:00" 1916 <
"1994/11/20;00:00:00" 1961 <
"1994/11/21;00:00:00" 1947 <
"1994/11/22;00:00:00" 1938 <
"1994/11/23;00:00:00" 1926 <
"1994/11/24;00:00:00" 1897 <
"1994/11/25;00:00:00" 1859 <
"1994/11/26;00:00:00" 1787 <
"1994/11/27;00:00:00" 1724 <
"1994/11/28;00:00:00" 1681 <
"1994/11/29;00:00:00" 1650 <
"1994/11/30;00:00:00" 1607 <
"1994/12/01;00:00:00" 1542 <
"1994/12/02;00:00:00" 1477 <
"1994/12/03;00:00:00" 1386 <
"1994/12/04;00:00:00" 1338 <
"1994/12/05;00:00:00" 1313 <
"1994/12/06;00:00:00" 1319 <
"1994/12/07;00:00:00" 1350 <
"1994/12/08;00:00:00" 1485 <
"1994/12/09;00:00:00" 1785 <
"1994/12/10;00:00:00" 1981 <
"1994/12/11;00:00:00" 1999 <
"1994/12/12;00:00:00" 2029 <
"1994/12/13;00:00:00" 2188 <
"1994/12/14;00:00:00" 2467 <
"1994/12/15;00:00:00" 2572 <
"1994/12/16;00:00:00" 2460 <
"1994/12/17;00:00:00" 2303 <
"1994/12/18;00:00:00" 2194 <
"1994/12/19;00:00:00" 2086 <
"1994/12/20;00:00:00" 1999 <
"1994/12/21;00:00:00" 1873 <
"1994/12/22;00:00:00" 1765 <
"1994/12/23;00:00:00" 1693 <
"1994/12/24;00:00:00" 1621 <
"1994/12/25;00:00:00" 1557 <
"1994/12/26;00:00:00" 1505 <
"1994/12/27;00:00:00" 1497 <
"1994/12/28;00:00:00" 1677 <
"1994/12/29;00:00:00" 2200 <
"1994/12/30;00:00:00" 3184 <
"1994/12/31;00:00:00" 3855 <
